Sl No,Location,Longitude,Latitude
1,14 Muni Anjaneyappa building vidyaranyapura main road doddabomma sandra Bangalore 560097,77.55921117,13.0593978
2,No 8 New No 11/1 shop No 50 achara college road Ganapathi nagar chikkabanavara bangaluru 90,77.49667111,13.07987147
3,no 30 1st main Nisarga layout near abhaiah Naidu road Bangalore 560061,77.54666615,12.91774614
4,shri veerabhadreshwar enterprices,77.63298797,13.05777931
5,no9 ramana sri nelaya chucha gatta,77.57323075,12.88579832
6,NO 1031/A 1ST MAIN ROAD 4TH BLOCK DR RAJKUMAR ROAD RAJAJINAGAR BANGALORE 560010,77.56003595,12.98681658
7,MainMagadi main road sugadhagate viganeshavaranagar bustop ,77.50004265,12.9938474
8,No 343/1B.v Reddy corners 10th main 100ft road HRBR layout banaswadi Bangalore Karnataka,77.64994796,13.01541298
9,23 18mani road j c Nagar kurubarahaill bangloure 560086,77.53168702,13.00165454
10,No 301 16th cross outer ring road jp nagar  5th phase bangalore 560078,77.59200386,12.90616048
11,Harohalli Nagenahalli Yelahanka Bengalore 560064,77.57681217,13.13175853
12,No 301 16th cross outer ring road jp nagar  5th phase bangalore 560078,77.59204101,12.90615463
13,No 465 tank bund Road 17th Cross malleshwaram West near orian mall,77.55565624,13.00821388
14,no67 12th cross 2ad main srinivas temple mahalakshmi layout,77.54550509,13.00822956
15,No 76/a 11th main cross 1st n block rajajinagar,77.55322985,13.0022687
16,no 5057 c 18 th main Vittal Nagar kumarswamy layout Bangalore 560078,77.55598179,12.90310711
17,obeya vibes,77.64734253,12.9120671
18,arekere,77.60976646,12.88697001
19,#387 14th cross sastri nagar bsk 2nd stage  Bangalore -560028,77.56967926,12.92998886
20,02 SRI SAI COMPLEX  NEAR KARNATAKA  BANK CHIKKATHIRPATHI  ROAD DODDA DUNNASANDRA ,77.81991418,12.97354795
21,60 feet road 6th block kormangala,77.61926248,12.93787205
22,"226,60 feet road NTI layout 2nd  main road RAJIVE GANDHI NAGARA BANGALORE 97",77.5839398,13.07064875
23,No 94 Haraluru silver County Main Road Kudlu Bengaluru 560068,77.66050446,12.89400365
24,S R S Buliding Abbigere main road  560016,77.53150597,13.06005199
